log_dias_hasta_primera_actividad,log_dias_sin_actividad,log_span_actividad_dias,log_dias_matriculado,log_total_eventos,dias_distintos,eventos_por_dia_activo,regularidad,nunca_activo,log_eventos_otros_cursos,ratio_actividad_curso,log_posts_foro,componentes_distintos,country_enc,lang_enc,ratio_viewed,ratio_created,ratio_updated
0.7495703102605862,7.008958622696797,-0.31068073299638016,6.668663236826188,-0.7057602507522772,-0.5769971497258949,-0.5950799705891543,-0.6662661901199345,0.761386987626881,-0.709936392752575,-0.7230675946787083,-0.2509200964734374,-0.6639737844144463,0.0,0.0,-0.7099382865488353,-0.2634418829452178,-0.42371027686870805
-1.4796410620608236,-1.168363331822668,6.597536486116496,6.668663236826188,2.2497046758821124,5.140520061194336,0.6145706764646467,-0.6056729973585898,-1.3133925536563695,2.4961996775611985,1.1004232857898668,-0.2509200964734374,2.924777083412396,0.0,0.0,1.0086861787270074,1.4517067438126434,0.9129165900174238
0.7495703102605862,0.49922661018091397,-0.31068073299638016,0.008858396379095022,-0.7057602507522772,-0.5769971497258949,-0.5950799705891543,-0.6662661901199345,0.761386987626881,-0.709936392752575,-0.7230675946787083,-0.2509200964734374,-0.6639737844144463,0.0,0.0,-0.7099382865488353,-0.2634418829452178,-0.42371027686870805
-0.7055835897877201,-1.168363331822668,-0.3103581910642826,0.008858396379095022,0.22414756137507635,0.37592238542747697,-0.1391814855186263,0.6506193783994173,-1.3133925536563695,0.9137229973781844,0.3238360892084006,-0.2509200964734374,0.5322765048611677,0.0,0.0,1.908918041490544,-0.2634418829452178,-0.42371027686870805
-1.1982895168570729,-1.168363331822668,-0.3068163749487503,0.008858396379095022,1.243236577472721,0.37592238542747697,1.4564632122282215,0.6506193783994173,-1.3133925536563695,0.39838356468601854,1.8466050839532866,-0.2509200964734374,1.1304016494989748,0.0,0.0,1.0359659321440842,-0.2634418829452178,0.9341328894918067
0.7495703102605862,0.49922661018091397,-0.31068073299638016,0.008858396379095022,-0.7057602507522772,-0.5769971497258949,-0.5950799705891543,-0.6662661901199345,0.761386987626881,-0.709936392752575,-0.7230675946787083,-0.2509200964734374,-0.6639737844144463,0.0,0.0,-0.7099382865488353,-0.2634418829452178,-0.42371027686870805
0.7495703102605862,0.49922661018091397,-0.31068073299638016,0.008858396379095022,-0.7057602507522772,-0.5769971497258949,-0.5950799705891543,-0.6662661901199345,0.761386987626881,-0.709936392752575,-0.7230675946787083,-0.2509200964734374,-0.6639737844144463,0.0,0.0,-0.7099382865488353,-0.2634418829452178,-0.42371027686870805
0.7495703102605862,0.49922661018091397,-0.31068073299638016,0.008858396379095022,-0.7057602507522772,-0.5769971497258949,-0.5950799705891543,-0.6662661901199345,0.761386987626881,-0.709936392752575,-0.7230675946787083,-0.2509200964734374,-0.6639737844144463,0.0,0.0,-0.7099382865488353,-0.2634418829452178,-0.42371027686870805
0.7495703102605862,0.49922661018091397,-0.31068073299638016,0.008858396379095022,-0.7057602507522772,-0.5769971497258949,-0.5950799705891543,-0.6662661901199345,0.761386987626881,-0.709936392752575,-0.7230675946787083,-0.2509200964734374,-0.6639737844144463,0.0,0.0,-0.7099382865488353,-0.2634418829452178,-0.42371027686870805
0.7495703102605862,0.49922661018091397,-0.31068073299638016,0.008858396379095022,-0.7057602507522772,-0.5769971497258949,-0.5950799705891543,-0.6662661901199345,0.761386987626881,-0.709936392752575,-0.7230675946787083,-0.2509200964734374,-0.6639737844144463,0.0,0.0,-0.7099382865488353,-0.2634418829452178,-0.42371027686870805
